channelKey,displayName,groups,sourceFile,sourceRole,originalName,host,kind,durable,continuousUpdate,updateMode,signedExpireAt,youtubeVideoId,url
ctvnews,CTV News,加拿大,sources/live-base.txt,durable-base-hls,CTV News,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/1249/e25dcd70331ccc3c078233d19e09b457/index.m3u8
ctvnews,CTV News,加拿大,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,CTV News,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/1249/e25dcd70331ccc3c078233d19e09b457/index.m3u8
cw,CW,美國頻道,sources/live-base.txt,durable-base-hls,CW,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1220/4eef51c6522405c390e2f1b3f2da5d8c/index.m3u8
cw,CW,美國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,CW,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1220/4eef51c6522405c390e2f1b3f2da5d8c/index.m3u8
daaitv,DaaiTV,印尼頻道,sources/live-base.txt,durable-base-hls,DaaiTV,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/1478/c85892c844cfec34c618e51b1d8c1c9c/index.m3u8
daaitv,DaaiTV,印尼頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,DaaiTV,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/1478/c85892c844cfec34c618e51b1d8c1c9c/index.m3u8
daserste,Das Erste,德國頻道,sources/live-base.txt,durable-base-hls,Das Erste,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx5/1523/bfc65efee0fee62c61136101e11ed5dc/index.m3u8
daserste,Das Erste,德國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Das Erste,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx5/1523/bfc65efee0fee62c61136101e11ed5dc/index.m3u8
daughterswap,DAUGHTER SWAP,私密頻道_7708,sources/live-base.txt,durable-base-hls,DAUGHTER SWAP,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx4/3095/169815f6291f6badd72660d9b0fab2fe/index.m3u8
daughterswap,DAUGHTER SWAP,私密頻道_7708,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,DAUGHTER SWAP,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx4/3095/169815f6291f6badd72660d9b0fab2fe/index.m3u8
dave,Dave,英國頻道,sources/live-base.txt,durable-base-hls,Dave,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx4/1418/cb17cd9df5ed8775fb21f7c943bcd31b/index.m3u8
dave,Dave,英國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Dave,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx4/1418/cb17cd9df5ed8775fb21f7c943bcd31b/index.m3u8
daveandava,Dave and Ava,YouTube兒童動畫,sources/youtube-live-channels.csv,durable-youtube-page,Dave and Ava,www.youtube.com,youtube-page,true,true,resolve-with-yt-dlp,,NU-7Xmj514E,https://www.youtube.com/watch?v=NU-7Xmj514E
deejaytv,Deejay TV,意大利,sources/live-base.txt,durable-base-hls,Deejay TV,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx2/1601/5733e255cee50779b734ce6026bbe2cb/index.m3u8
deejaytv,Deejay TV,意大利,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Deejay TV,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx2/1601/5733e255cee50779b734ce6026bbe2cb/index.m3u8
discoveringchina,Discovering China,紀實頻道,sources/live-base.txt,durable-base-hls,Discovering China,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx2/3287/4d5b088517f1aa93d4e3d627c214b39b/index.m3u8
discoveringchina,Discovering China,紀實頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Discovering China,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx2/3287/4d5b088517f1aa93d4e3d627c214b39b/index.m3u8
discovery,Discovery,한국 | 美國頻道,sources/live-base.txt,durable-base-hls,Discovery,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx4/3196/14ec1e68219043fc3b1e059ba5567d40/index.m3u8
discovery,Discovery,한국 | 美國頻道,sources/live-base.txt,durable-base-hls,Discovery,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx2/1529/76a2dbe3e6b392b0cc85ea14a3fe54cd/index.m3u8
discovery,Discovery,한국 | 美國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Discovery,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx4/3196/14ec1e68219043fc3b1e059ba5567d40/index.m3u8
discovery,Discovery,한국 | 美國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Discovery,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx2/1529/76a2dbe3e6b392b0cc85ea14a3fe54cd/index.m3u8
discoveryinvestigation,Discovery investigation,英國頻道,sources/live-base.txt,durable-base-hls,Discovery investigation,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1426/0c032d65a09235e11414f4f899241a41/index.m3u8
discoveryinvestigation,Discovery investigation,英國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Discovery investigation,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1426/0c032d65a09235e11414f4f899241a41/index.m3u8
discoveryjapan,Discovery Japan,にっぽん,sources/live-base.txt,durable-base-hls,Discovery Japan,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/290/d018dd37fa1ed6fabc0022e68528ac44/index.m3u8
discoveryjapan,Discovery Japan,にっぽん,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Discovery Japan,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/290/d018dd37fa1ed6fabc0022e68528ac44/index.m3u8
discoveryscience,discovery science,英國頻道,sources/live-base.txt,durable-base-hls,discovery science,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1424/09aab8ae0f63932666ee3f21ae3edd8a/index.m3u8
discoveryscience,discovery science,英國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,discovery science,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1424/09aab8ae0f63932666ee3f21ae3edd8a/index.m3u8
