"category","order","name","api","included","duplicate","duplicateReason","listOk","detailOk","searchOk","searchHasPlayUrl","hasPlayUrl","status","error"
"03 番號/日本","72","Luna 72 奥斯卡-","https://aosikazy.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"03 番號/日本","73","Luna 73 丝袜资源","https://siwazyw.tv/api.php/provide/vod","false","true","duplicate_api","false","false","false","false","false","duplicate_removed","duplicate_api"
"04 動漫/美少女","66","Luna 66 美少女-","https://www.msnii.com/api/json.php","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","42","Luna 42 155-资源","https://155api.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","43","Luna 43 玉兔资源","https://apiyutu.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","46","Luna 46 优优资源","https://www.yytv4.cc/api.php/provide/vod","false","true","duplicate_api","false","false","false","false","false","duplicate_removed","duplicate_api"
"05 精品/大站","47","Luna 47 小鸡资源","https://api.xiaojizy.live/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","53","Luna 53 森林资源","https://beiyong.slapibf.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","55","Luna 55 鲨鱼资源","https://shayuapi.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","56","Luna 56 豆豆资源","https://api.douapi.cc/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","57","Luna 57 滴滴资源","https://api.ddapi.cc/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","59","Luna 59 百万资源","https://api.bwzyz.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","61","Luna 61 精品资源","https://www.jingpinx.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","64","Luna 64 细胞资源","https://www.xxibaozyw.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","65","Luna 65 香蕉资源","https://www.xiangjiaozyw.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
